MP_Name,State,Constituency,Allocated_Amount,Total_Fund_Utilized,Balance_Allocated_Limit,Utilization_Percent,pace_band,pace_note
VIJAYLAKSHMI DEVI,Bihar,SIWAN,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Ashok Kumar Yadav,Bihar,MADHUBANI,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Ravi Shankar Prasad,Bihar,PATNA SAHIB,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
MANISH JAISWAL,Jharkhand,HAZARIBAGH,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SK NURUL ISLAM,West Bengal,BASIRHAT,49000000.0,0.0,49000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Harsh Malhotra,Delhi,EAST DELHI,147134131.0,0.0,147134131.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Yogendra Chandoliya,Delhi,NORTH WEST DELHI(SC),147876307.0,0.0,147876307.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Praveen Khandelwal,Delhi,CHANDINI CHOWK,147470276.0,0.0,147470276.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
CAPTAIN VIRIATO FERNANDES,Goa,SOUTH GOA,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ADHIKARI SOUMENDU,West Bengal,KANTHI,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ARUP CHAKRABORTY,West Bengal,BANKURA,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Khagen Murmu,West Bengal,MALDAHA UTTAR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
P C Mohan,Karnataka,BANGALORE CENTRAL,159995711.11,0.0,159995711.11,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Satish Kumar Gautam,Uttar Pradesh,ALIGARH,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DR. PRABHA MALLIKARJUN,Karnataka,DAVANAGERE,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Smt Raksha Nikhil Khadse,Maharashtra,RAVER,153112586.11,0.0,153112586.11,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
NARESH GANPAT MHASKE,Maharashtra,THANE,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SMITA UDAY WAGH,Maharashtra,JALGAON,148107373.11,0.0,148107373.11,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Bhola Singh,Uttar Pradesh,BULANDSHAHR(SC),147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Rajkumar Chahar,Uttar Pradesh,FATEHPUR SIKRI,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ZIA UR REHMAN,Uttar Pradesh,SAMBHAL,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Prataprao Jadhav,Maharashtra,BULDHANA,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Pankaj Chowdhary,Uttar Pradesh,MAHARAJGANJ_UP,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
MOHITE PATIL DHAIRYASHEEL RAJSINH,Maharashtra,MADHA,195613601.7,0.0,195613601.7,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Ashok Kumar Rawat,Uttar Pradesh,MISRIKH(SC),147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
MALAIYARASAN D,Tamil Nadu,KALLAKURICHI,201599593.0,0.0,201599593.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ANIL YESHWANT DESAI,Maharashtra,MUMBAI SOUTH CENTRAL,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Smt Anupriya Patel,Uttar Pradesh,MIRZAPUR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
RACHNA BANERJEE,West Bengal,HOOGHLY,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
AKSHAYA YADAV,Uttar Pradesh,FIROZABAD,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Giriraj Singh,Bihar,BEGUSARAI,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shrikant Eknath Shinde,Maharashtra,KALYAN,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
UTKARSH VERMA MADHUR,Uttar Pradesh,KHERI,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
RADHAKRISHNA,Karnataka,GULBARGA(SC),147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
RUCHI VIRA,Uttar Pradesh,MORADABAD,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DR. PRADEEP KUMAR PANIGRAHY,Odisha,BERHAMPUR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Jai Prakash,Uttar Pradesh,HARDOI (SC),147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DR RANI SRI KUMAR,Tamil Nadu,TENKASI(SC),153060922.82,0.0,153060922.82,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Ravindra Shyamnarayan Alias Ravi Kishan Shukla,Uttar Pradesh,GORAKHPUR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Smt Sandhya Ray,Madhya Pradesh,BHIND(SC),147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DEVESH SHAKYA,Uttar Pradesh,ETAH,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Asaduddin Owaisi,Telangana,HYDERABAD,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SHIVMANGAL SINGH TOMAR,Madhya Pradesh,MORENA,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ANAND KUMAR,Uttar Pradesh,BAHRAICH(SC),147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ALFRED KANNGAM S ARTHUR,Manipur,OUTER MANIPUR(ST),147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ANGOMCHA BIMOL AKOIJAM,Manipur,INNER MANIPUR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
JYOTIRADITYA M. SCINDIA,Madhya Pradesh,GUNA,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Pratap Chandra Sarangi,Odisha,BALASORE,147064254.11,0.0,147064254.11,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Dileshwar Kamait,Bihar,SUPAUL,150450930.89,0.0,150450930.89,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ANOOP PRADHAN BALMIKI,Uttar Pradesh,HATHRAS (SC),147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
T Sumathy (A) Thamizhachi Thangapandian,Tamil Nadu,CHENNAI SOUTH,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Tapir Gao,Arunachal Pradesh,ARUNACHAL EAST,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Rajiv Ranjan (Lalan) Singh,Bihar,MUNGER,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Sunil Kumar,Bihar,VALMIKI NAGAR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Sanjay Jaiswal,Bihar,PASCHIM CHAMPARAN,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Sudip Bandyopadhyay,West Bengal,KOLKATA UTTAR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
HARISH CHANDRA MEENA,Rajasthan,TONK-SAWAI MADHOPUR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
MISHA BHARTI,Bihar,PATALIPUTRA,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Gajendra Singh Shekhawat,Rajasthan,JODHPUR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
KUNDURU RAGHUVEER,Telangana,NALGONDA,162952022.0,0.0,162952022.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Ajay Kumar Mandal,Bihar,BHAGALPUR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
BASTIPATI NAGARAJU PANCHALINGALA,Andhra Pradesh,KURNOOL,159998515.11,0.0,159998515.11,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
RAJ BHUSHAN CHOUDHARY,Bihar,MUZAFFARPUR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Bhupathiraju Srinivasa varma,Andhra Pradesh,NARASAPURAM,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Rajiv Pratap Rudy,Bihar,SARAN,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Smt Veena Devi,Bihar,VAISHALI,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Jyotirmay Singh Mahato,West Bengal,PURULIA,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Shantanu Thakur,West Bengal,BANGAON(SC),147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shatrughan Sinha,West Bengal,ASANSOL,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Prof Sougata Ray,West Bengal,DUM DUM,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Ramprit Mandal,Bihar,JHANJHARPUR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Lavu Sri Krishna Devarayalu,Andhra Pradesh,NARASARAOPET,174009663.11,0.0,174009663.11,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Dinesh Chandra Yadav,Bihar,MADHEPURA,150070866.11,0.0,150070866.11,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Mr Gopal Jee Thakur,Bihar,DARBHANGA,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
RAJESH VERMA,Bihar,KHAGARIA,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Radha Mohan Singh,Bihar,PURVI CHAMPARAN,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shripad Yesso Naik,Goa,NORTH GOA,147000000.0,61425.0,146938575.0,0.04,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
PARIMAL SUKLABAIDYA,Assam,SILCHAR,148300157.11,112320.0,148187837.11,0.08,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Anurag Singh Thakur,Himachal Pradesh,HAMIRPUR_HP,149570117.11,140000.0,149430117.11,0.09,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Pradyut Bordoloi,Assam,NOWGONG,98000000.0,95760.0,97904240.0,0.1,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
CHHATRA PAL SINGH GANGWAR,Uttar Pradesh,BAREILLY,147000000.0,182446.0,146817554.0,0.12,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
BHAJAN LAL JATAV,Rajasthan,KARAULI-DHOLPUR(SC),147000000.0,213028.0,146786972.0,0.14,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Kirti Vardhan Singh,Uttar Pradesh,GONDA,147000000.0,252857.0,146747143.0,0.17,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Vishnu Dayal Ram,Jharkhand,PALAMU(SC),158176083.11,270000.0,157906083.11,0.17,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SHIVRAJ SINGH CHOUHAN,Madhya Pradesh,VIDISHA,147000000.0,250000.0,146750000.0,0.17,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
BHARTI PARDHI,Madhya Pradesh,BALAGHAT,154398389.01,308872.0,154089517.01,0.2,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Chandra Prakash Joshi,Rajasthan,CHITTORGARH,147000000.0,319626.0,146680374.0,0.22,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SANATAN PANDEY,Uttar Pradesh,BALLIA,180420041.4,416409.0,180003632.4,0.23,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ARUN BHARTI,Bihar,JAMUI(SC),194924621.11,481732.0,194442889.11,0.25,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
D Ravikumar,Tamil Nadu,VILUPPURAM(SC),197598306.11,494286.0,197104020.11,0.25,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Dr Sukanta Majumdar,West Bengal,BALURGHAT,157085364.9,399582.0,156685782.9,0.25,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Dushyant Singh,Rajasthan,JHALAWAR-BARAN,147000000.0,401413.0,146598587.0,0.27,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
VIVEK THAKUR,Bihar,NAWADA,147000000.0,418162.0,146581838.0,0.28,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Smt Dimple Yadav,Uttar Pradesh,MAINPURI,192042469.11,548630.0,191493839.11,0.29,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
M. MALLESH BABU,Karnataka,KOLAR(SC),147065957.11,448209.0,146617748.11,0.3,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Kalyan Banerjee,West Bengal,SREERAMPUR,147000000.0,450683.0,146549317.0,0.31,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shankar Lalwani,Madhya Pradesh,INDORE,147000000.0,451215.0,146548785.0,0.31,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SUNIL BOSE,Karnataka,CHAMARAJANAGAR(SC),147000000.0,492252.0,146507748.0,0.33,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
JITAN RAM MANJHI,Bihar,GAYA (SC),147000000.0,497885.0,146502115.0,0.34,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri LS Tejasvi Surya,Karnataka,BANGALORE SOUTH,147000000.0,499213.0,146500787.0,0.34,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DHAVAL LAXMANBHAI PATEL,Gujarat,VALSAD(ST),147000000.0,499224.0,146500776.0,0.34,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
RAM PRASAD CHAUDHARY,Uttar Pradesh,BASTI,204176957.11,710714.0,203466243.11,0.35,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Smt Satabdi Roy (Banerjee),West Bengal,BIRBHUM,147000000.0,574270.0,146425730.0,0.39,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Mohamed Haneefa,Ladakh,LADAKH,161114542.0,650000.0,160464542.0,0.4,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
K. RAJASHEKAR BASAVARAJ HITNAL,Karnataka,KOPPAL,147000000.0,600000.0,146400000.0,0.41,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
RAKESH RATHOR,Uttar Pradesh,SITAPUR,147000000.0,599975.0,146400025.0,0.41,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
RAJ KUMAR ROAT,Rajasthan,BANSWARA(ST),147000000.0,607500.0,146392500.0,0.41,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DR.K.SUDHAKAR,Karnataka,CHIKBALLAPUR,147000000.0,622318.0,146377682.0,0.42,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri PP Chaudhary,Rajasthan,PALI,147000000.0,638320.0,146361680.0,0.43,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,220500000.0,967828.0,219532172.0,0.44,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Karnataka,MYSORE,147000000.0,675000.0,146325000.0,0.46,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Janardan Mishra,Madhya Pradesh,REWA,147000000.0,675000.0,146325000.0,0.46,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Hasmukh Bhai Soma Bhai Patel,Gujarat,AHMEDABAD EAST,147000000.0,687854.0,146312146.0,0.47,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Manoj Tiwari,Delhi,NORTH EAST DELHI,225843858.0,1082937.0,224760921.0,0.48,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Sanjay Haribhau Jadhav,Maharashtra,PARBHANI,147000000.0,699900.0,146300100.0,0.48,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Indra Hang Subba,Sikkim,SIKKIM,152003923.11,722414.0,151281509.11,0.48,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
CHHOTELAL,Uttar Pradesh,ROBERTSGANJ(SC),147000000.0,737146.0,146262854.0,0.5,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Sudheer Gupta,Madhya Pradesh,MANDSOUR,148988014.83,749246.0,148238768.83,0.5,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Gajendra Singh Patel,Madhya Pradesh,KHARGONE(ST),147000000.0,749254.0,146250746.0,0.51,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
PARTHA BHOWMICK,West Bengal,BARRACKPUR,147000000.0,800000.0,146200000.0,0.54,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Abhishek Banerjee,West Bengal,DIAMOND HARBOUR,147000000.0,799755.0,146200245.0,0.54,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Anto Antony,Kerala,PATHANAMTHITTA,147000000.0,801857.0,146198143.0,0.55,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
JITENDRA KUMAR DOHARE,Uttar Pradesh,ETAWAH(SC),188747306.26,1037220.0,187710086.26,0.55,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Rodmal Nagar,Madhya Pradesh,RAJGARH,147000000.0,850000.0,146150000.0,0.58,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Vijay Kumar Dubey,Uttar Pradesh,KUSHI NAGAR,148900000.0,868318.0,148031682.0,0.58,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Suresh Kumar Kashyap,Himachal Pradesh,SHIMLA (SC),153563957.11,900000.0,152663957.11,0.59,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Pratima Mondal,West Bengal,JOYNAGAR(SC),147000000.0,874827.0,146125173.0,0.6,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
BAPI HALDAR,West Bengal,MATHURAPUR(SC),147000000.0,912139.0,146087861.0,0.62,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
