Work_ID,MP_Name,State,Constituency,Work_Type,District,Date,Amount,Payment_Status,work_description,risk_score,risk_level,reason,cost_score,cost_z,cost_ratio,cost_peer_group,mismatch_score,Declared_Work_Type,Predicted_Work_Type,Confidence_In_Declared_Type,conc_score,conc_score_per_work,conc_ratio,portfolio_share,dup_score,dup_similarity,duplicate_of_work_id,dup_amount_corroborated,dup_reason,comparison_group,evidence
WS/MP18031/2024-2025/143528,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,Purchase of books and periodicals for libraries/digitization of library books,GAYA,22-Jan-2025,499385.0,Completed,purchase of books for school library. sanction five lacs for every school.,30,Medium - Worth Reviewing,100% text-similar AND same claimed amount as another 'Purchase of books and periodicals for libraries/digitization of library books' work by the same MP (WS/MP18031/2024-2025/143489) — check for duplicate or split-billed claim.,0,0.016794911150437544,1.0012771981040518,state,0,Purchase of books and periodicals for libraries/digitization of library books,Purchase of books and periodicals for libraries/digitization of library books,0.9067,0,0,54.92060285714284,0.9625683115794715,30,1.0,WS/MP18031/2024-2025/143489,True,100% text-similar AND same claimed amount as another 'Purchase of books and periodicals for libraries/digitization of library books' work by the same MP (WS/MP18031/2024-2025/143489) — check for duplicate or split-billed claim.,Purchase of books and periodicals for libraries/digitization of library books,"{'cost_anomaly': {'score': 0, 'z': 0.02, 'ratio_to_peer_median': 1.0, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.9067}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 54.92, 'portfolio_share': 0.963}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18031/2024-2025/143489', 'amount_corroborated': True}}"
WS/MP18212/2024-2025/161139,ANAND BHADAURIYA,Uttar Pradesh,DHAURAHRA,Lighting of public spaces,KHERI,13-Jan-2026,166016.0,Completed,One Semi High Mast light( 6 lights 200 watt )in Every Village,30,Medium - Worth Reviewing,100% text-similar AND same claimed amount as another 'Lighting of public spaces' work by the same MP (WS/MP18212/2024-2025/161133) — check for duplicate or split-billed claim.,0,-0.15835552753243523,0.942576505989894,state,0,Lighting of public spaces,Lighting of public spaces,0.6305,0,0,4.184026326166944,0.29154821455711316,30,1.0,WS/MP18212/2024-2025/161133,True,100% text-similar AND same claimed amount as another 'Lighting of public spaces' work by the same MP (WS/MP18212/2024-2025/161133) — check for duplicate or split-billed claim.,Lighting of public spaces,"{'cost_anomaly': {'score': 0, 'z': -0.16, 'ratio_to_peer_median': 0.94, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.6305}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 4.18, 'portfolio_share': 0.292}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18212/2024-2025/161133', 'amount_corroborated': True}}"
WS/MP18101/2024-2025/139569,RAHUL SINGH LODHI,Madhya Pradesh,DAMOH,Construction of additional rooms and halls in the existing public and community building,DAMOH,09-Sep-2025,500000.0,Completed,atirikt kakch niman kary panchayat bhavan ke piche vyayam sala ke pass gram panchayat abhana,30,Medium - Worth Reviewing,"Description reads as 'Lighting of public spaces', not the declared 'Construction of additional rooms and halls in the existing public and community building' (model gives the declared category only 2.0% match confidence).",0,0.0,1.0000000000000007,national,30,Construction of additional rooms and halls in the existing public and community building,Lighting of public spaces,0.0204,0,0,1.5003458695890042,0.09656467312761581,0,0.0,,False,,Construction of additional rooms and halls in the existing public and community building,"{'cost_anomaly': {'score': 0, 'z': 0.0, 'ratio_to_peer_median': 1.0, 'peer_group_scope': 'national'}, 'text_mismatch': {'score': 30, 'declared_type_confidence': 0.0204}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 1.5, 'portfolio_share': 0.097}, 'duplicate_work': {'score': 0, 'similarity': 0.0, 'duplicate_of_work_id': None, 'amount_corroborated': False}}"
WS/MP643/2024-2025/139581,Gyaneshwar Patil,Madhya Pradesh,KHANDWA,Purchase Books for Library,Khandwa ,21-Mar-2025,100000.0,Completed,books suplly at various schools of khandwa district,30,Medium - Worth Reviewing,100% text-similar AND same claimed amount as another 'Purchase Books for Library' work by the same MP (WS/MP643/2024-2025/139577) — check for duplicate or split-billed claim.,0,0.0,0.9999999999999999,state,0,Purchase Books for Library,Purchase Books for Library,0.7988,0,0,0.4747141294221148,0.13824020341264576,30,1.0,WS/MP643/2024-2025/139577,True,100% text-similar AND same claimed amount as another 'Purchase Books for Library' work by the same MP (WS/MP643/2024-2025/139577) — check for duplicate or split-billed claim.,Purchase Books for Library,"{'cost_anomaly': {'score': 0, 'z': 0.0, 'ratio_to_peer_median': 1.0, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.7988}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 0.47, 'portfolio_share': 0.138}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP643/2024-2025/139577', 'amount_corroborated': True}}"
WS/MP18031/2024-2025/143566,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,Purchase of books and periodicals for libraries/digitization of library books,GAYA,22-Jan-2025,499385.0,Completed,purchase of books for school library. sanction of five lacs for every school,30,Medium - Worth Reviewing,100% text-similar AND same claimed amount as another 'Purchase of books and periodicals for libraries/digitization of library books' work by the same MP (WS/MP18031/2024-2025/143489) — check for duplicate or split-billed claim.,0,0.016794911150437544,1.0012771981040518,state,0,Purchase of books and periodicals for libraries/digitization of library books,Purchase of books and periodicals for libraries/digitization of library books,0.8976,0,0,54.92060285714284,0.9625683115794715,30,1.0,WS/MP18031/2024-2025/143489,True,100% text-similar AND same claimed amount as another 'Purchase of books and periodicals for libraries/digitization of library books' work by the same MP (WS/MP18031/2024-2025/143489) — check for duplicate or split-billed claim.,Purchase of books and periodicals for libraries/digitization of library books,"{'cost_anomaly': {'score': 0, 'z': 0.02, 'ratio_to_peer_median': 1.0, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.8976}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 54.92, 'portfolio_share': 0.963}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18031/2024-2025/143489', 'amount_corroborated': True}}"
WS/MP18109/2024-2025/175940,DR. RAJESH MISHRA,Madhya Pradesh,SIDHI,Street lights,SHAHDOL,17-Feb-2026,1157705.0,Completed,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,30,Medium - Worth Reviewing,100% text-similar AND same claimed amount as another 'Street lights' work by the same MP (WS/MP18109/2024-2025/175919) — check for duplicate or split-billed claim.,0,0.0,1.0000000000000007,state,0,Street lights,Street lights,0.7291,0,0,20.492594370291688,0.6722028429316048,30,1.0,WS/MP18109/2024-2025/175919,True,100% text-similar AND same claimed amount as another 'Street lights' work by the same MP (WS/MP18109/2024-2025/175919) — check for duplicate or split-billed claim.,Street lights,"{'cost_anomaly': {'score': 0, 'z': 0.0, 'ratio_to_peer_median': 1.0, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.7291}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 20.49, 'portfolio_share': 0.672}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18109/2024-2025/175919', 'amount_corroborated': True}}"
WS/MP18152/2024-2025/157826,SARABJEET SINGH KHALSA,Punjab,FARIDKOT(SC),Purchase of mobile water tankers,FARIDKOT,07-Apr-2025,200000.0,Completed,Purchase of Steel mobile water tanker,30,Medium - Worth Reviewing,100% text-similar AND same claimed amount as another 'Purchase of mobile water tankers' work by the same MP (WS/MP18152/2024-2025/137630) — check for duplicate or split-billed claim.,0,-82.3953246373856,0.8313588560502134,state,0,Purchase of mobile water tankers,Purchase of mobile water tankers,0.8,0,0,1.0000000000000004,0.11082792042164157,30,1.0,WS/MP18152/2024-2025/137630,True,100% text-similar AND same claimed amount as another 'Purchase of mobile water tankers' work by the same MP (WS/MP18152/2024-2025/137630) — check for duplicate or split-billed claim.,Purchase of mobile water tankers,"{'cost_anomaly': {'score': 0, 'z': -82.4, 'ratio_to_peer_median': 0.83, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.8}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 1.0, 'portfolio_share': 0.111}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18152/2024-2025/137630', 'amount_corroborated': True}}"
WS/MP18031/2024-2025/143565,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,Purchase of books and periodicals for libraries/digitization of library books,GAYA,22-Jan-2025,499385.0,Completed,purchase of books for school library. sanction of five lacs for every school,30,Medium - Worth Reviewing,100% text-similar AND same claimed amount as another 'Purchase of books and periodicals for libraries/digitization of library books' work by the same MP (WS/MP18031/2024-2025/143489) — check for duplicate or split-billed claim.,0,0.016794911150437544,1.0012771981040518,state,0,Purchase of books and periodicals for libraries/digitization of library books,Purchase of books and periodicals for libraries/digitization of library books,0.9116,0,0,54.92060285714284,0.9625683115794715,30,1.0,WS/MP18031/2024-2025/143489,True,100% text-similar AND same claimed amount as another 'Purchase of books and periodicals for libraries/digitization of library books' work by the same MP (WS/MP18031/2024-2025/143489) — check for duplicate or split-billed claim.,Purchase of books and periodicals for libraries/digitization of library books,"{'cost_anomaly': {'score': 0, 'z': 0.02, 'ratio_to_peer_median': 1.0, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.9116}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 54.92, 'portfolio_share': 0.963}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18031/2024-2025/143489', 'amount_corroborated': True}}"
WS/MP18031/2024-2025/143564,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,Purchase of books and periodicals for libraries/digitization of library books,GAYA,22-Jan-2025,499385.0,Completed,purchase of books for school library. sanction of five lacs for every school,30,Medium - Worth Reviewing,100% text-similar AND same claimed amount as another 'Purchase of books and periodicals for libraries/digitization of library books' work by the same MP (WS/MP18031/2024-2025/143489) — check for duplicate or split-billed claim.,0,0.016794911150437544,1.0012771981040518,state,0,Purchase of books and periodicals for libraries/digitization of library books,Purchase of books and periodicals for libraries/digitization of library books,0.9062,0,0,54.92060285714284,0.9625683115794715,30,1.0,WS/MP18031/2024-2025/143489,True,100% text-similar AND same claimed amount as another 'Purchase of books and periodicals for libraries/digitization of library books' work by the same MP (WS/MP18031/2024-2025/143489) — check for duplicate or split-billed claim.,Purchase of books and periodicals for libraries/digitization of library books,"{'cost_anomaly': {'score': 0, 'z': 0.02, 'ratio_to_peer_median': 1.0, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.9062}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 54.92, 'portfolio_share': 0.963}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18031/2024-2025/143489', 'amount_corroborated': True}}"
WS/MP687/2025-2026/182084,Sunil Dattatray Tatkare,Maharashtra,RAIGAD,Development of public parks,RAIGAD,28-Jul-2025,1497402.0,Completed,"To develop the Udayan in Ghotwal, Group Gram Panchayat Bhuvan, Tal-Mangaon, Dist-Raigad",30,Medium - Worth Reviewing,"Description reads as 'Construction of community centers and community halls', not the declared 'Development of public parks' (model gives the declared category only 1.3% match confidence).",0,1.3829133733120655,3.7435049999999985,national,30,Development of public parks,Construction of community centers and community halls,0.0134,0,0,1.0,0.14987400751390842,0,0.0,,False,,Development of public parks,"{'cost_anomaly': {'score': 0, 'z': 1.38, 'ratio_to_peer_median': 3.74, 'peer_group_scope': 'national'}, 'text_mismatch': {'score': 30, 'declared_type_confidence': 0.0134}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 1.0, 'portfolio_share': 0.15}, 'duplicate_work': {'score': 0, 'similarity': 0.0, 'duplicate_of_work_id': None, 'amount_corroborated': False}}"
WS/MP18031/2024-2025/143563,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,Purchase of books and periodicals for libraries/digitization of library books,GAYA,22-Jan-2025,499385.0,Completed,purchase of books for school library. sanction of five lacs for every school,30,Medium - Worth Reviewing,100% text-similar AND same claimed amount as another 'Purchase of books and periodicals for libraries/digitization of library books' work by the same MP (WS/MP18031/2024-2025/143489) — check for duplicate or split-billed claim.,0,0.016794911150437544,1.0012771981040518,state,0,Purchase of books and periodicals for libraries/digitization of library books,Purchase of books and periodicals for libraries/digitization of library books,0.9067,0,0,54.92060285714284,0.9625683115794715,30,1.0,WS/MP18031/2024-2025/143489,True,100% text-similar AND same claimed amount as another 'Purchase of books and periodicals for libraries/digitization of library books' work by the same MP (WS/MP18031/2024-2025/143489) — check for duplicate or split-billed claim.,Purchase of books and periodicals for libraries/digitization of library books,"{'cost_anomaly': {'score': 0, 'z': 0.02, 'ratio_to_peer_median': 1.0, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.9067}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 54.92, 'portfolio_share': 0.963}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18031/2024-2025/143489', 'amount_corroborated': True}}"
WS/MP643/2024-2025/139580,Gyaneshwar Patil,Madhya Pradesh,KHANDWA,Purchase Books for Library,Khandwa ,21-Mar-2025,100000.0,Completed,books suplly at various schools of khandwa district,30,Medium - Worth Reviewing,100% text-similar AND same claimed amount as another 'Purchase Books for Library' work by the same MP (WS/MP643/2024-2025/139577) — check for duplicate or split-billed claim.,0,0.0,0.9999999999999999,state,0,Purchase Books for Library,Purchase Books for Library,0.8082,0,0,0.4747141294221148,0.13824020341264576,30,1.0,WS/MP643/2024-2025/139577,True,100% text-similar AND same claimed amount as another 'Purchase Books for Library' work by the same MP (WS/MP643/2024-2025/139577) — check for duplicate or split-billed claim.,Purchase Books for Library,"{'cost_anomaly': {'score': 0, 'z': 0.0, 'ratio_to_peer_median': 1.0, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.8082}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 0.47, 'portfolio_share': 0.138}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP643/2024-2025/139577', 'amount_corroborated': True}}"
WS/MP18031/2024-2025/143571,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,Purchase of books and periodicals for libraries/digitization of library books,GAYA,22-Jan-2025,499385.0,Completed,purchase of books for school library. sanction of five lacs for every school,30,Medium - Worth Reviewing,100% text-similar AND same claimed amount as another 'Purchase of books and periodicals for libraries/digitization of library books' work by the same MP (WS/MP18031/2024-2025/143489) — check for duplicate or split-billed claim.,0,0.016794911150437544,1.0012771981040518,state,0,Purchase of books and periodicals for libraries/digitization of library books,Purchase of books and periodicals for libraries/digitization of library books,0.8985,0,0,54.92060285714284,0.9625683115794715,30,1.0,WS/MP18031/2024-2025/143489,True,100% text-similar AND same claimed amount as another 'Purchase of books and periodicals for libraries/digitization of library books' work by the same MP (WS/MP18031/2024-2025/143489) — check for duplicate or split-billed claim.,Purchase of books and periodicals for libraries/digitization of library books,"{'cost_anomaly': {'score': 0, 'z': 0.02, 'ratio_to_peer_median': 1.0, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.8985}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 54.92, 'portfolio_share': 0.963}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18031/2024-2025/143489', 'amount_corroborated': True}}"
WS/MP18220/2024-2025/171331,ANOOP PRADHAN BALMIKI,Uttar Pradesh,HATHRAS (SC),"Construction of roads, link roads, pathways or any other road with or without drainage system",ALIGARH,12-Jun-2025,1000512.0,Completed,Gram Karthala Block Iglas mai Khacher Singh kai Ghar se Soran Singh kai Ghar ki Taraf 120 meeter Interlocking work,30,Medium - Worth Reviewing,"Description reads as 'Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes', not the declared 'Construction of roads, link roads, pathways or any other road with or without drainage system' (model gives the declared category only 2.9% match confidence).",0,0.03928189248483973,1.0213713654941194,state,30,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes",0.0294,0,0,9.981771096400466,0.7287619558910757,0,0.0,,False,,"Construction of roads, link roads, pathways or any other road with or without drainage system","{'cost_anomaly': {'score': 0, 'z': 0.04, 'ratio_to_peer_median': 1.02, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 30, 'declared_type_confidence': 0.0294}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 9.98, 'portfolio_share': 0.729}, 'duplicate_work': {'score': 0, 'similarity': 0.0, 'duplicate_of_work_id': None, 'amount_corroborated': False}}"
WS/MP18031/2024-2025/143530,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,Purchase of books and periodicals for libraries/digitization of library books,GAYA,22-Jan-2025,499385.0,Completed,purchase of books for school library. sanction five lacs for every school.,30,Medium - Worth Reviewing,100% text-similar AND same claimed amount as another 'Purchase of books and periodicals for libraries/digitization of library books' work by the same MP (WS/MP18031/2024-2025/143489) — check for duplicate or split-billed claim.,0,0.016794911150437544,1.0012771981040518,state,0,Purchase of books and periodicals for libraries/digitization of library books,Purchase of books and periodicals for libraries/digitization of library books,0.8985,0,0,54.92060285714284,0.9625683115794715,30,1.0,WS/MP18031/2024-2025/143489,True,100% text-similar AND same claimed amount as another 'Purchase of books and periodicals for libraries/digitization of library books' work by the same MP (WS/MP18031/2024-2025/143489) — check for duplicate or split-billed claim.,Purchase of books and periodicals for libraries/digitization of library books,"{'cost_anomaly': {'score': 0, 'z': 0.02, 'ratio_to_peer_median': 1.0, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.8985}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 54.92, 'portfolio_share': 0.963}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18031/2024-2025/143489', 'amount_corroborated': True}}"
WS/MP18183/2025-2026/140746,MURASOLI S,Tamil Nadu,THANJAVUR,Construction of community centers and community halls,THANJAVUR,16-Jun-2025,1965000.0,Completed,"Construction of New PDS Building  Perumal Koil Street, Pattukottai City,ward no 19",27,Medium - Worth Reviewing,"Cost is 1.5x the median for 'Construction of community centers and community halls' works in Tamil Nadu (₹1,965,000 (₹19.65 lakh) vs. median ₹1,303,191 (₹13.03 lakh), n=39 comparable works). | MURASOLI S spent ₹22,922,582 (₹2.29 crore) on 'Construction of community centers and community halls' works — 15.4x the median MP spend in that category (₹1,491,921 (₹14.92 lakh), n=101 peer MPs), 85% of this MP's total disbursed funds.",25,3.3266247167779186,1.5078373009021713,state,0,Construction of community centers and community halls,Construction of community centers and community halls,0.1814,7,2,15.364474392410855,0.8519338820651212,0,0.0,,False,,Construction of community centers and community halls,"{'cost_anomaly': {'score': 25, 'z': 3.33, 'ratio_to_peer_median': 1.51, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.1814}, 'mp_category_concentration': {'score': 7, 'score_per_work': 2, 'ratio_to_peer_mp_median': 15.36, 'portfolio_share': 0.852}, 'duplicate_work': {'score': 0, 'similarity': 0.0, 'duplicate_of_work_id': None, 'amount_corroborated': False}}"
WS/MP478/2024-2025/154259,Mala Rajya Laxmi Shah,Uttarakhand,TEHRI GARHWAL,Construction of footpaths and pedestrian ways,DEHRADUN,11-May-2026,198368.0,Completed,"VIKAS KHAND KALSI KE GRAM BANSU ME MUKHYA MARG SE GAON TAK CC MARG NIRMAN KARY,",26,Medium - Worth Reviewing,"Description reads as 'Construction of roads, link roads, pathways or any other road with or without drainage system', not the declared 'Construction of footpaths and pedestrian ways' (model gives the declared category only 3.7% match confidence). | Mala Rajya Laxmi Shah spent ₹5,194,642 (₹51.95 lakh) on 'Construction of footpaths and pedestrian ways' works — 5.9x the median MP spend in that category (₹883,044 (₹8.83 lakh), n=27 peer MPs), 84% of this MP's total disbursed funds.",0,-0.45305565693979655,0.6674112091406363,national,22,Construction of footpaths and pedestrian ways,"Construction of roads, link roads, pathways or any other road with or without drainage system",0.0366,7,4,5.8826536390032675,0.8389781043117887,0,0.0,,False,,Construction of footpaths and pedestrian ways,"{'cost_anomaly': {'score': 0, 'z': -0.45, 'ratio_to_peer_median': 0.67, 'peer_group_scope': 'national'}, 'text_mismatch': {'score': 22, 'declared_type_confidence': 0.0366}, 'mp_category_concentration': {'score': 7, 'score_per_work': 4, 'ratio_to_peer_mp_median': 5.88, 'portfolio_share': 0.839}, 'duplicate_work': {'score': 0, 'similarity': 0.0, 'duplicate_of_work_id': None, 'amount_corroborated': False}}"
WS/MP478/2024-2025/149448,Mala Rajya Laxmi Shah,Uttarakhand,TEHRI GARHWAL,Construction of footpaths and pedestrian ways,AGRA,23-Jan-2025,1098945.0,Completed,Gram Mutawai me Sanjeev Sharma ke makan se Bijasen ki or C.C Mrag nirman karay (Woorking Agency R E S Agra ),26,Medium - Worth Reviewing,"Description reads as 'Construction of roads, link roads, pathways or any other road with or without drainage system', not the declared 'Construction of footpaths and pedestrian ways' (model gives the declared category only 7.0% match confidence). | Mala Rajya Laxmi Shah spent ₹5,194,642 (₹51.95 lakh) on 'Construction of footpaths and pedestrian ways' works — 5.9x the median MP spend in that category (₹883,044 (₹8.83 lakh), n=27 peer MPs), 84% of this MP's total disbursed funds.",0,1.4651469232757148,3.6974119375557377,national,22,Construction of footpaths and pedestrian ways,"Construction of roads, link roads, pathways or any other road with or without drainage system",0.0702,7,4,5.8826536390032675,0.8389781043117887,0,0.0,,False,,Construction of footpaths and pedestrian ways,"{'cost_anomaly': {'score': 0, 'z': 1.47, 'ratio_to_peer_median': 3.7, 'peer_group_scope': 'national'}, 'text_mismatch': {'score': 22, 'declared_type_confidence': 0.0702}, 'mp_category_concentration': {'score': 7, 'score_per_work': 4, 'ratio_to_peer_mp_median': 5.88, 'portfolio_share': 0.839}, 'duplicate_work': {'score': 0, 'similarity': 0.0, 'duplicate_of_work_id': None, 'amount_corroborated': False}}"
WS/MP18058/2024-2025/158427,DR. HEMANG JOSHI,Gujarat,VADODARA,"Purchase of smart boards, visual display units and projectors",VADODARA,09-Jul-2025,409000.0,Completed,Sayajigunj-10 VahivatiwardNo.11 Dr.Vikaram Sarabhai prathmik sada ma smart balvatika banavva n kamgiri,25,Medium - Worth Reviewing,"Cost is 2.0x the median for 'Purchase of smart boards, visual display units and projectors' works nationally (₹409,000 (₹4.09 lakh) vs. median ₹200,000 (₹2.00 lakh), n=125 comparable works).",25,2.9921333890600392,2.0449999999999995,national,0,"Purchase of smart boards, visual display units and projectors","Purchase of smart boards, visual display units and projectors",0.1047,0,0,0.7825319904211846,0.5318595578673602,0,0.0,,False,,"Purchase of smart boards, visual display units and projectors","{'cost_anomaly': {'score': 25, 'z': 2.99, 'ratio_to_peer_median': 2.04, 'peer_group_scope': 'national'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.1047}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 0.78, 'portfolio_share': 0.532}, 'duplicate_work': {'score': 0, 'similarity': 0.0, 'duplicate_of_work_id': None, 'amount_corroborated': False}}"
WS/MP18058/2024-2025/158424,DR. HEMANG JOSHI,Gujarat,VADODARA,"Purchase of smart boards, visual display units and projectors",VADODARA,09-Jul-2025,409000.0,Completed,Sayajigunj-20 Nizampura AtitiGruh pachas vahivati wardNo.1 Maharshi Arvind Prathmik Sada (Bapor)Ma Smart Balvatika banavva n kamgiri,25,Medium - Worth Reviewing,"Cost is 2.0x the median for 'Purchase of smart boards, visual display units and projectors' works nationally (₹409,000 (₹4.09 lakh) vs. median ₹200,000 (₹2.00 lakh), n=125 comparable works).",25,2.9921333890600392,2.0449999999999995,national,0,"Purchase of smart boards, visual display units and projectors","Purchase of smart boards, visual display units and projectors",0.2751,0,0,0.7825319904211846,0.5318595578673602,0,0.0,,False,,"Purchase of smart boards, visual display units and projectors","{'cost_anomaly': {'score': 25, 'z': 2.99, 'ratio_to_peer_median': 2.04, 'peer_group_scope': 'national'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.2751}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 0.78, 'portfolio_share': 0.532}, 'duplicate_work': {'score': 0, 'similarity': 0.0, 'duplicate_of_work_id': None, 'amount_corroborated': False}}"
WS/MP787/2024-2025/157706,Devendra Alias Bhole Singh,Uttar Pradesh,AKBARPUR,Lighting of public spaces,KANPUR NAGAR,23-Dec-2025,524033.0,Completed,Vidhansabha maharajpur ke antargat vikas khand- sarsaul ke gram panchayat Kharauti me Highmast light ka Adhisthapan karya.,25,Medium - Worth Reviewing,"Cost is 3.0x the median for 'Lighting of public spaces' works in Uttar Pradesh (₹524,033 (₹5.24 lakh) vs. median ₹176,130 (₹1.76 lakh), n=1218 comparable works).",25,2.919604880536418,2.975262590132289,state,0,Lighting of public spaces,Lighting of public spaces,0.2719,0,0,4.6721626505845455,1.0,0,0.0,,False,,Lighting of public spaces,"{'cost_anomaly': {'score': 25, 'z': 2.92, 'ratio_to_peer_median': 2.98, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.2719}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 4.67, 'portfolio_share': 1.0}, 'duplicate_work': {'score': 0, 'similarity': 0.0, 'duplicate_of_work_id': None, 'amount_corroborated': False}}"
WS/MP18058/2024-2025/158428,DR. HEMANG JOSHI,Gujarat,VADODARA,"Purchase of smart boards, visual display units and projectors",VADODARA,09-Jul-2025,409000.0,Completed,sher-1 Fatipura vahivati wardNo.8 chhatrapati Shivaji Maharaj prathmik sada (Bapor) ma smart balvatika banavva n kamgiri,25,Medium - Worth Reviewing,"Cost is 2.0x the median for 'Purchase of smart boards, visual display units and projectors' works nationally (₹409,000 (₹4.09 lakh) vs. median ₹200,000 (₹2.00 lakh), n=125 comparable works).",25,2.9921333890600392,2.0449999999999995,national,0,"Purchase of smart boards, visual display units and projectors","Purchase of smart boards, visual display units and projectors",0.0989,0,0,0.7825319904211846,0.5318595578673602,0,0.0,,False,,"Purchase of smart boards, visual display units and projectors","{'cost_anomaly': {'score': 25, 'z': 2.99, 'ratio_to_peer_median': 2.04, 'peer_group_scope': 'national'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.0989}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 0.78, 'portfolio_share': 0.532}, 'duplicate_work': {'score': 0, 'similarity': 0.0, 'duplicate_of_work_id': None, 'amount_corroborated': False}}"
